easting,northing,vs30,uncertainty
1559710.9633340172,5164202.670597301,178.59323,0.20000000298023224
1572133.9387879253,5178976.225699425,288.44,0.2
1572136.3989966968,5178977.506892676,261.27,0.2
1572102.1127103795,5178921.864690316,200.99,0.2
1572001.3060443234,5178854.930180938,194.51,0.2
1571935.828687079,5178888.973779603,197.31,0.2
1577786.1674073767,5180826.653769728,189.75,0.2
1574604.4126879738,5182886.663725316,205.15,0.2
1572955.5037058159,5183132.315208591,203.56,0.2
1571929.504183277,5197002.855391425,217.49,0.2
1572452.6532735734,5183028.172913013,174.0,0.2
1574701.4570025713,5182665.0316694975,180.14,0.2
1575766.6800251252,5183820.458124265,177.38,0.2
1570313.3304984542,5180888.897557003,187.54,0.2
1568658.3036197242,5180927.989214693,175.0,0.2
1573004.5132803381,5196784.818641566,169.0,0.2
1572389.7463268035,5196595.927878978,205.0,0.2
1573164.8620057583,5196868.916619647,195.47,0.2
1572205.8507883225,5196831.571520558,197.0,0.2
1571516.6804051073,5196997.738697969,206.16,0.2
1570531.0604231278,5180447.550852378,176.0,0.2
1570663.885427364,5180526.085871767,181.4,0.2
1571093.5137785394,5180403.389988994,191.67,0.2
1564886.7149976494,5182945.912819363,294.0,0.2
1569572.579248472,5176184.171378869,222.0,0.2
1571538.1020533894,5183443.790561954,160.0,0.2
1571622.9904250165,5180867.014684107,211.0,0.2
1573666.0469073427,5178401.13933416,183.0,0.2
1569320.651810969,5190100.75909926,223.0,0.2
1568979.423673776,5179482.240176243,188.0,0.2
1565724.0546641422,5181051.36222689,297.0,0.2
1571123.973934827,5180201.433519009,192.0,0.2
1574579.812346142,5181889.275117132,186.0,0.2
1576478.5800884133,5184500.8367254585,202.0,0.2
1568717.7597155822,5186177.868324851,188.0,0.2
1564915.8441515071,5179727.894130837,324.0,0.2
1578520.0734299524,5179986.3797678985,184.0,0.2
1933261.1379653357,5620565.339633845,176.0,0.1
1935265.3118677852,5621691.48557128,440.0,0.2
2037740.0031014914,5706989.571752057,480.0,0.5
2037085.6715481293,5708273.148003739,162.0,0.1
2037290.4179509163,5708507.089220824,138.0,0.2
1692922.4476186347,5676345.120812586,350.0,0.5
1709359.8301775365,5617533.1717603,210.0,0.2
1935001.7193371833,5619978.385628943,230.0,0.2
1935001.7193371833,5619978.385628943,230.0,0.2
1937056.9794681862,5621669.22788468,268.0,0.5
1937056.9794681862,5621669.22788468,268.0,0.5
1929774.166243971,5604530.5013358295,196.0,0.1
1906510.6771276172,5572463.852657511,495.0,0.5
1863699.7678110544,5544465.705241404,367.0,0.5
1863439.3863271256,5544308.156455677,403.0,0.5
1881255.4117447608,5522762.473670704,800.0,0.5
1823869.676280013,5463577.598439129,314.0,0.5
1823869.676280013,5463577.598439129,314.0,0.5
1785647.9064536872,5394870.850425519,511.0,0.5
1586072.1880704768,5292104.49645148,280.0,0.5
1406787.8878486883,4914224.682165753,140.0,0.2
1623714.8648028264,5431110.6992155695,335.0,0.5
1679870.1771010843,5403762.608218076,235.0,0.5
1679870.1771010843,5403762.608218076,235.0,0.5
1600809.508690192,5447413.139071034,300.0,0.5
1483521.635977215,5376422.41713971,300.0,0.5
1483521.635977215,5376422.41713971,300.0,0.5
1505795.1975390413,5336649.351821598,333.0,0.5
1545083.5497502051,5307970.412524968,391.0,0.5
1623880.5722721622,5430588.413783283,340.0,0.5
1433314.0951316005,5268511.732338644,278.0,0.5
