index,easting,northing,vs30,uncertainty,source
385,1.5708432e+06,5.2024565e+06,183.473,0.5,cpt
386,1.5694011e+06,5.1790035e+06,159.69064,0.5,cpt
387,1.5645296e+06,5.173727e+06,139.66049,0.5,cpt
388,1.5646798e+06,5.1739955e+06,154.1882,0.5,cpt
389,1.5737419e+06,5.1803655e+06,221.39197,0.5,cpt
390,1.5769501e+06,5.1830635e+06,188.25891,0.5,cpt
391,1.6202534e+06,5.4286575e+06,210.77051,0.5,cpt
392,1.5730628e+06,5.186522e+06,195.00249,0.5,cpt
393,1.5922621e+06,5.481062e+06,141.31432,0.5,cpt
394,1.773135e+06,5.898111e+06,108.66914,0.5,cpt
395,1.5674946e+06,5.174838e+06,146.75183,0.5,cpt
396,1.7553346e+06,5.9251495e+06,149.92505,0.5,cpt
397,1.4055194e+06,4.9147515e+06,131.7778,0.5,cpt
398,1.5653968e+06,5.1806905e+06,184.70044,0.5,cpt
399,1.569531e+06,5.181263e+06,237.83315,0.5,cpt
400,1.5715531e+06,5.1821375e+06,162.8427,0.5,cpt
401,1.6232899e+06,5.4324365e+06,179.1275,0.5,cpt
402,1.744045e+06,5.918364e+06,131.28996,0.5,cpt
403,1.6232966e+06,5.432398e+06,167.52617,0.5,cpt
404,1.763218e+06,5.908776e+06,124.017494,0.5,cpt
405,1.5674706e+06,5.1816085e+06,190.32327,0.5,cpt
406,1.5731171e+06,5.1827205e+06,219.0274,0.5,cpt
407,1.7682189e+06,5.8876765e+06,157.87308,0.5,cpt
408,1.767611e+06,5.887999e+06,154.31285,0.5,cpt
409,1.946637e+06,5.7918335e+06,162.36462,0.5,cpt
410,1.9503129e+06,5.793524e+06,204.37186,0.5,cpt
411,1.9486156e+06,5.792073e+06,202.05087,0.5,cpt
412,1.5759204e+06,5.186698e+06,218.61108,0.5,cpt
413,1.5712616e+06,5.1798985e+06,192.52522,0.5,cpt
414,1.5711969e+06,5.1798245e+06,147.8712,0.5,cpt
416,1.8822801e+06,5.7716245e+06,194.1109,0.5,cpt
417,1.8821489e+06,5.7716175e+06,171.50925,0.5,cpt
418,1.8052699e+06,5.8103055e+06,185.73933,0.5,cpt
419,1.5670838e+06,5.1803175e+06,160.56381,0.5,cpt
420,1.799595e+06,5.815548e+06,161.78152,0.5,cpt
421,1.816544e+06,5.80581e+06,142.84113,0.5,cpt
422,1.815837e+06,5.805843e+06,176.07338,0.5,cpt
423,1.5732766e+06,5.1783175e+06,169.39232,0.5,cpt
424,1.257994e+06,5.005367e+06,181.22865,0.5,cpt
425,1.5700472e+06,5.181008e+06,166.14279,0.5,cpt
426,1.6562152e+06,5.3052955e+06,202.1962,0.5,cpt
427,1.5755201e+06,5.1791275e+06,225.61684,0.5,cpt
428,1.5713276e+06,5.177438e+06,154.40712,0.5,cpt
429,1.5702041e+06,5.1899655e+06,100.765884,0.5,cpt
430,1.5713621e+06,5.196917e+06,153.65686,0.5,cpt
431,1.5705208e+06,5.1828985e+06,203.61337,0.5,cpt
432,1.5720845e+06,5.178826e+06,155.21751,0.5,cpt
433,1.866775e+06,5.721557e+06,180.23872,0.5,cpt
434,1.8618844e+06,5.722599e+06,174.66827,0.5,cpt
435,1.8599335e+06,5.7268175e+06,187.5592,0.5,cpt
436,1.8551308e+06,5.7302085e+06,205.69463,0.5,cpt
437,1.8523304e+06,5.7316715e+06,171.9216,0.5,cpt
438,1.8497608e+06,5.7327295e+06,163.59465,0.5,cpt
439,1.8483768e+06,5.7347205e+06,172.86327,0.5,cpt
440,1.8473672e+06,5.7375275e+06,153.02545,0.5,cpt
441,1.8630191e+06,5.722198e+06,202.89217,0.5,cpt
442,1.8622295e+06,5.722471e+06,193.02182,0.5,cpt
443,1.859826e+06,5.7272295e+06,177.53358,0.5,cpt
444,1.8587425e+06,5.728687e+06,216.78328,0.5,cpt
445,1.8569928e+06,5.729599e+06,164.23267,0.5,cpt
446,1.8699174e+06,5.720406e+06,226.62036,0.5,cpt
447,1.8673762e+06,5.7214255e+06,173.80211,0.5,cpt
448,1.8454724e+06,5.7413465e+06,149.80937,0.5,cpt
449,1.8445156e+06,5.7434965e+06,180.2217,0.5,cpt
450,1.6232478e+06,5.4318735e+06,157.47243,0.5,cpt
451,1.6231472e+06,5.431875e+06,197.56448,0.5,cpt
452,1.2581741e+06,5.004882e+06,145.86694,0.5,cpt
453,1.5652339e+06,5.173489e+06,116.76349,0.5,cpt
454,1.559306e+06,5.169078e+06,221.04205,0.5,cpt
455,1.570673e+06,5.176267e+06,161.79279,0.5,cpt
456,1.9515252e+06,5.7908185e+06,153.4239,0.5,cpt
457,1.2583059e+06,5.0058975e+06,217.58374,0.5,cpt
