"","index","easting","northing","slp09c","slp30c"
"565",36128,2311246.48823926,5781368.99694536,0.0484868875061371,0.112932962157114
"566",37787,2475247.29570863,5735086.04656585,0.00193952377653221,0.0101392973352846
"567",24404,2575729.32919034,5992428.24157744,NA,0.0350065085799329
"568",8716,2931442.36832219,6371736.5294595,0.303469729998647,0.082062326382501
"569",17105,2839727.93459906,6166129.01324836,0.00217430946607444,0.000471758300096748
"570",40509,2192231.05256075,5695156.98756556,0.0085372365542932,0.0145489024317493
"571",37787,2477110.65050766,5738804.10264331,0.00300569099421131,0.0025199293899488
"572",22898,2680887.9038583,6005431.73157901,0.0040540841306217,0.00745021609251416
"573",33450,2343246.28646875,5830236.91752818,0.0108435959015267,NA
"574",17680,2842796.35555911,6163198.7178492,0.0261934035086964,0.0170858976058555
"575",20886,2702821.99469789,6062459.1494722,0.0107329354827122,0.00967404261742174
"576",38313,2425951.69160654,5740346.93989365,0.00904311274344532,0.00731796932425227
"577",37787,2485927.62123765,5745054.64321978,0.000551497673036404,9.4084251491147e-05
"578",32352,2496077.16975031,5853766.79599701,0.0188393219583045,0.0429499918929271
"579",20771,2676289.83164938,6004200.44321975,0.108759213369291,0.0669384518261257
"580",15850,2645365.83258265,6214862.27361253,0.012772428429531,0.00230833948596589
"581",38667,2482326.48412787,5736397.51737082,0.118414432342218,0.0924317558567815
"582",38705,2486542.3418231,5736367.07305252,0.15680365706971,0.116282113470862
"583",17027,2619480.58780312,6179244.69178092,0.00342112444157179,0.00601562386221394
"584",54390,2152162.97493714,5411686.88731779,0.0134962378106191,0.00376423302525859
"585",33226,2384942.22289256,5830032.55998779,0.0573558888889537,0.0299744536359533
"586",28175,2423021.97038424,5927225.63380543,0.039905320585852,0.0239742507652827
"587",14901,2612947.07691325,6226956.45670873,0.0152530342603016,0.0144565464420282
"588",23377,2671025.44105988,5995255.73010522,0.197581094358239,0.0709278160409778
"589",33256,2382584.52235112,5830238.45567301,0.0115783948067062,0.0711313392402344
"590",41054,2158052.84538771,5683489.65230255,0.190029804974466,0.0297279347729716
"591",41338,2172545.52561304,5673021.64905664,0.381941748938316,0.150699389361553
"592",9791,2835464.34831372,6339885.74442359,0.00564103154621215,0.00980719297496379
