CPT_ID, Latitude, Longitude, NZMG Easting, NZMG Northing, NZTM Easting, NZTM Northing, Vs30
32312,-43.490169,172.692779,2485161.17,5746318.08,1575158.89,5184704.59,198.498466
32647,-43.558941,172.70376,2486076.42,5738680.52,1576073.98,5177070.09,184.851763
32648,-43.559414,172.706649,2486310,5738628.74,1576307.46,5177018.34,179.839194
32649,-43.551596,172.695323,2485391.75,5739494.19,1575389.55,5177883.41,179.153582
32696,-43.544377,172.69372,2485259.27,5740295.72,1575257.1,5178684.62,177.628415
32697,-43.544184,172.693884,2485272.46,5740317.2,1575270.29,5178706.09,196.383079
32698,-43.544382,172.696153,2485455.92,5740295.86,1575453.67,5178684.76,203.206974
32775,-43.513912,172.710503,2486603.97,5743685.24,1576601.17,5182072.82,186.343368
32776,-43.513777,172.710534,2486606.43,5743700.26,1576603.63,5182087.84,210.499798
32836,-43.555997,172.697269,2485550.76,5739005.7,1575548.52,5177395.12,177.066739
32837,-43.557139,172.70024,2485791.32,5738879.7,1575788.98,5177269.18,178.287136
32838,-43.558596,172.703806,2486080.01,5738718.87,1576077.56,5177108.42,179.422414
32839,-43.558094,172.705154,2486188.75,5738775,1576186.26,5177164.53,177.476734
32840,-43.555271,172.703201,2486029.79,5739088.16,1576027.35,5177477.56,175.812197
32844,-43.55949,172.68593,2484635.98,5738614.28,1574634.12,5177003.83,174.24957
32847,-43.543666,172.698354,2485633.51,5740376.05,1575631.19,5178764.92,201.753514
33186,-43.512121,172.71257,2486770.43,5743884.85,1576767.56,5182272.36,189.094889
33189,-43.511992,172.712876,2486795.12,5743899.27,1576792.24,5182286.77,185.879206
33279,-43.491133,172.69256,2485143.85,5746210.91,1575141.58,5184597.47,206.49155
33300,-43.518953,172.710858,2486634.62,5743125.32,1576631.82,5181513.13,192.044863
33322,-43.515022,172.710009,2486564.46,5743561.83,1576561.68,5181949.46,184.635658
33323,-43.491115,172.690074,2484942.75,5746212.17,1574940.56,5184598.72,200.923098
33324,-43.490969,172.690231,2484955.39,5746228.44,1574953.19,5184614.98,194.533064
33325,-43.491314,172.690648,2484989.26,5746190.23,1574987.05,5184576.79,190.804672
